date,station_number,month,mean_temp,mean_dew_point,mean_sealevel_pressure,mean_visibility,mean_wind_speed,max_sustained_wind_speed,max_temperature,total_precipitation,snow,max_temperature_explicit_enc,day_of_year,day_of_week
2007-08-04,725327,8,69.80000305175781,56.59999847412109,1018.2999877929688,10.0,1.600000023841858,5.099999904632568,57.0,0.0,0,0.0,216,5
2007-08-04,725305,8,70.9000015258789,60.29999923706055,1017.5999755859376,9.899999618530272,3.0999999046325684,7.0,60.09999847412109,0.0099999997764825,0,0.0,216,5
2007-08-04,725326,8,69.80000305175781,61.09999847412109,,9.699999809265137,3.5,13.0,60.79999923706055,0.0,0,0.0,216,5
2007-08-04,725314,8,80.69999694824219,71.30000305175781,1015.7000122070312,4.5,3.0,8.899999618530273,69.80000305175781,0.0,0,1.0,216,5
2007-08-04,725315,8,75.4000015258789,64.5999984741211,1016.9000244140624,9.399999618530272,5.099999904632568,8.0,68.0,0.1199999973177909,0,0.0,216,5
2007-08-04,725300,8,74.0999984741211,57.400001525878906,1017.5999755859376,10.0,4.400000095367432,9.899999618530272,64.0,0.0099999997764825,0,0.0,216,5
2007-08-04,725316,8,78.30000305175781,68.5,1016.4000244140624,8.600000381469727,3.700000047683716,11.100000381469728,69.0999984741211,0.959999978542328,0,0.0,216,5
2007-08-04,725330,8,72.9000015258789,53.79999923706055,1017.5999755859376,10.0,3.0,6.0,55.900001525878906,0.0,0,0.0,216,5
2007-08-05,725315,8,77.19999694824219,71.69999694824219,1012.0999755859376,6.099999904632568,5.800000190734863,8.899999618530273,69.80000305175781,0.0099999997764825,0,1.0,217,6
2007-08-05,725314,8,84.9000015258789,70.19999694824219,1012.2999877929688,8.100000381469727,4.300000190734863,13.0,78.80000305175781,0.0,0,1.0,217,6
2007-08-05,725316,8,81.69999694824219,71.4000015258789,1011.9000244140624,8.100000381469727,8.100000381469727,15.0,73.0,0.0,0,0.0,217,6
2007-08-05,725326,8,75.4000015258789,67.5999984741211,,7.400000095367432,6.0,11.100000381469728,66.19999694824219,0.0900000035762786,0,0.0,217,6
2007-08-05,725317,8,79.0,70.69999694824219,1012.0999755859376,6.800000190734863,6.400000095367432,9.899999618530272,71.5999984741211,0.050000000745058,0,1.0,217,6
2007-08-05,725300,8,75.19999694824219,67.0,1010.9000244140624,7.199999809265137,8.699999809265137,15.0,64.0,1.059999942779541,0,0.0,217,6
2007-08-05,725327,8,73.0999984741211,68.19999694824219,1012.0999755859376,6.599999904632568,7.400000095367432,18.100000381469727,66.19999694824219,0.2199999988079071,0,1.0,217,6
2007-08-05,725305,8,75.4000015258789,69.30000305175781,1011.0999755859376,6.300000190734863,7.400000095367432,15.899999618530272,69.80000305175781,0.3199999928474426,1,1.0,217,6
2007-08-05,725330,8,73.5999984741211,66.4000015258789,1013.5999755859376,6.800000190734863,6.599999904632568,12.0,55.900001525878906,0.8299999833106995,1,0.0,217,6
2007-08-05,725320,8,79.4000015258789,69.9000015258789,1011.0,7.300000190734863,7.900000095367432,15.899999618530272,73.0,0.0199999995529651,0,1.0,217,6
2007-08-06,725317,8,83.4000015258789,72.5,1010.7000122070312,8.800000190734863,4.900000095367432,9.899999618530272,78.0999984741211,0.0700000002980232,0,0.0,218,0
2007-08-06,725305,8,79.4000015258789,74.4000015258789,1009.5999755859376,5.099999904632568,2.900000095367432,12.0,73.4000015258789,0.4600000083446502,0,1.0,218,0
2007-08-06,725315,8,80.5,73.30000305175781,1010.9000244140624,7.800000190734863,5.5,8.899999618530273,73.9000015258789,0.0,0,0.0,218,0
2007-08-06,725314,8,86.19999694824219,68.5999984741211,1011.2999877929688,9.800000190734863,3.700000047683716,7.0,75.0,0.0,0,0.0,218,0
2007-08-06,725326,8,80.19999694824219,74.80000305175781,,5.099999904632568,3.5999999046325684,11.100000381469728,71.5999984741211,0.0099999997764825,0,1.0,218,0
2007-08-06,725327,8,79.5,72.9000015258789,1010.2999877929688,8.0,4.5,9.899999618530272,71.5999984741211,0.0900000035762786,0,1.0,218,0
2007-08-06,725300,8,80.4000015258789,73.0,1009.4000244140624,7.099999904632568,4.300000190734863,8.0,66.9000015258789,0.4000000059604645,0,0.0,218,0
2007-08-06,725316,8,83.4000015258789,72.19999694824219,1010.7000122070312,9.600000381469728,6.300000190734863,9.899999618530272,80.0999984741211,0.1899999976158142,0,0.0,218,0
2007-08-06,725320,8,84.30000305175781,73.80000305175781,1009.5999755859376,8.800000190734863,5.5,12.0,73.0,0.0,0,0.0,218,0
2007-08-06,725330,8,79.4000015258789,72.5999984741211,1010.0999755859376,6.0,4.300000190734863,13.0,66.0,0.8199999928474426,0,0.0,218,0
2007-08-07,725315,8,83.4000015258789,74.5,1010.0,8.0,6.0,11.100000381469728,75.19999694824219,0.0,0,1.0,219,1
2007-08-07,725320,8,85.4000015258789,73.80000305175781,1008.7000122070312,9.0,6.900000095367432,9.899999618530272,75.9000015258789,0.0,0,0.0,219,1
2007-08-07,725316,8,86.80000305175781,73.19999694824219,1009.7999877929688,10.0,8.699999809265137,13.0,78.0999984741211,0.0,0,0.0,219,1
2007-08-07,725317,8,85.30000305175781,73.69999694824219,1010.0,9.0,6.400000095367432,13.0,77.0,0.0,0,0.0,219,1
2007-08-07,725300,8,80.0,72.69999694824219,1008.2000122070312,7.699999809265137,7.5,23.899999618530277,73.0,1.5700000524520874,0,1.0,219,1
